3639,31223323,111
18900,32602255,99
20461,32807339,99
5144,31312313,98
6219,31318809,97
13289,31811260,97
13789,31901360,96
11421,31704260,95
20511,32807397,95
2586,31217366,94
4691,31311802,94
25874,33901202,94
26556,34050260,94
4916,31312065,93
8451,31414417,93
8847,31500789,93
16075,32106832,93
19750,32802245,93
8592,31414736,92
14249,32002259,92
20780,33002170,92
21677,33300569,92
4943,31312093,91
5891,31317189,91
6141,31317472,91
7579,31405686,91
12285,31804936,91
14181,32002178,91
15232,32050982,91
15307,32102681,91
20888,33002291,91
1130,31207913,90
1427,31208352,90
6339,31318947,90
7168,31400891,90
10429,31609883,90
13442,31812176,90
14147,31904985,90
20933,33002341,90
21116,33101116,90
23662,33605155,90
24795,33805265,90
25172,33807358,90
4393,31303741,89
6973,31354443,89
11308,31703352,89
12270,31804920,89
12278,31804929,89
12606,31807062,89
17801,32405273,89
18655,32551609,89
23150,33504724,89
26313,34001882,89
26332,34001904,89
4989,31312143,88
5703,31315457,88
6143,31317474,88
6374,31318983,88
7605,31406465,88
8898,31500843,88
13949,31903002,88
14654,32004047,88
25937,33901775,88
1093,31207868,87
4055,31303361,87
9405,31603843,87
16054,32106806,87
16849,32200366,87
17511,32401408,87
19791,32802295,87
19836,32802348,87
20290,32805729,87
22035,33302961,87
23228,33601111,87
24940,33805445,87
26364,34001945,87
1956,31211293,86
2685,31217477,86
3571,31223232,86
3691,31223382,86
4962,31312114,86
6099,31317429,86
6317,31318923,86
8076,31411301,86
9295,31602383,86
13741,31901296,86
15138,32050861,86
17414,32401301,86
19694,32802179,86
20779,33002168,86
21622,33203013,86
23703,33605204,86
23788,33605810,86
24890,33805390,86
26328,34001899,86
2794,31217610,85
2848,31217669,85
4076,31303388,85
4410,31303760,85
5080,31312243,85
5180,31312355,85
5395,31315099,85
5940,31317245,85
7244,31404533,85
8122,31411364,85
8857,31500799,85
9959,31609240,85
10490,31609957,85
11143,31703153,85
13328,31812053,85
13448,31812182,85
13951,31903004,85
14473,32002569,85
15646,32105334,85
16544,32110105,85
17050,32301434,85
18306,32504663,85
18928,32602287,85
19757,32802253,85
21136,33101137,85
